RIO CHURUBUSCO,509,DEL CARMEN,4100,DISTRITO FEDERAL,COYOACAN,Coyoacan
CENTENARIO,24,DEL CARMEN,4100,DISTRITO FEDERAL,COYOACAN,Coyoacan
QUETZAL,1,EL ROSEDAL,4330,DISTRITO FEDERAL,COYOACAN,Coyoacan
J AGUILAR Y LOPEZ,SN,SAN DIEGO CHURUBUSCO,4210,DISTRITO FEDERAL,COYOACAN,Coyoacan
DEL HUESO,1014,VILLA QUIETUD,4960,DISTRITO FEDERAL,COYOACAN,Coyoacan
UNIVERSIDAD,1894,COLONIA OXTOPULCO UNIVERSIDAD,4318,DISTRITO FEDERAL,COYOACAN,Coyoacan
PAPALOTL,SN,PEDREGAL DE SANTO DOMINGO,4369,DISTRITO FEDERAL,COYOACAN,Coyoacan
PAPALOTL,SN,PEDREGAL DE SANTO DOMINGO,4369,DISTRITO FEDERAL,COYOACAN,Coyoacan
CENTRO COMERCIAL,SN,JARDINES DEL PEDREGAL,4690,DISTRITO FEDERAL,COYOACAN,Coyoacan
PAPALOTL,164,PEDREGAL DE SANTO DOMINGO,4369,DISTRITO FEDERAL,COYOACAN,Coyoacan
SAN GONZALO,SN,PEDREGAL DE SANTA URSULA,4600,DISTRITO FEDERAL,COYOACAN,Coyoacan
ERASMO CASTELLANOS QUINTO,465,EDUCACION,4400,DISTRITO FEDERAL,COYOACAN,Coyoacan
CENTENARIO,27,VILLA COYOACAN,4000,DISTRITO FEDERAL,COYOACAN,Coyoacan
RANCHO SAN LORENZO,6,LOS GIRASOLES,4920,DISTRITO FEDERAL,COYOACAN,Coyoacan
CERRO VIGIA,362,CAMPESTRE CHURUBUSCO,4200,DISTRITO FEDERAL,COYOACAN,Coyoacan
10 SUR (AVENIDA PEDRO ENRIQUEZ S/,49 A,PEDREGAL DE SANTO DOMINGO,4369,DISTRITO FEDERAL,COYOACAN,Coyoacan
ABASOLO,96,DEL CARMEN,4100,DISTRITO FEDERAL,COYOACAN,Coyoacan
IZTACCIHUATL,1,ADOLFO RUIZ CORTINEZ,4630,DISTRITO FEDERAL,COYOACAN,Coyoacan
AVENIDA DE LOS APACHES,213,EX EJIDO SAN FRANCISCO CULHUACAN,4420,DISTRITO FEDERAL,COYOACAN,Coyoacan
DE LAS BOMBAS,784,COLONIA RESIDENCIAL CAFETALES,4918,DISTRITO FEDERAL,COYOACAN,Coyoacan
CANAL NACIONAL,1075,VILLA QUIETUD,4960,DISTRITO FEDERAL,COYOACAN,Coyoacan
SAN LEON,19,PEDREGAL DE STA URSULA,4600,DISTRITO FEDERAL,COYOACAN,Coyoacan
ELVIRA VARGAS,46 B,CTM CULHUACAN,4480,DISTRITO FEDERAL,COYOACAN,Coyoacan
MANUELA SAENZ,25,CTM CULHUACAN OBRERO SECCIONCION VI,4490,DISTRITO FEDERAL,COYOACAN,Coyoacan
SANTA ANA,91,CULHUCAN SECCIONTOR VI,4480,DISTRITO FEDERAL,COYOACAN,Coyoacan
CIUDAD UNIVERSITARIA,295,LA OTRA BANDA,4360,DISTRITO FEDERAL,COYOACAN,Coyoacan
2 ORIENTE (HEROICA ESCUELA NAVAL MILITAR),416C,AMPLIACION SAN FRANCISCO CULHUACAN,4470,DISTRITO FEDERAL,COYOACAN,Coyoacan
TAXQUEÑA,SN,COLONIA CAMPESTRE CHURUBUSCO,4200,DISTRITO FEDERAL,COYOACAN,Coyoacan
DE TLALPAN,1831 E,SAN DIEGO CHURUBUSCO,4210,DISTRITO FEDERAL,COYOACAN,Coyoacan
AVENIDA DE LOS APACHES,60,SAN FRANCISCO CULHUACAN,4260,DISTRITO FEDERAL,COYOACAN,Coyoacan
JARDIN,20,ATLANTIDA,4370,DISTRITO FEDERAL,COYOACAN,Coyoacan
YAQUIS,SN,AJUSCO HUAYAMILPA,4300,DISTRITO FEDERAL,COYOACAN,Coyoacan
UNIVERSIDAD,1863,OXTOPULCO UNIVERSIDAD,4318,DISTRITO FEDERAL,COYOACAN,Coyoacan
G,SN,ALIANZA POPULAR REVOLUCIONARIA,4800,DISTRITO FEDERAL,COYOACAN,Coyoacan
5 DE MAYO,26,COLONIA SAN FRANCISCO CULHUACAN,4260,DISTRITO FEDERAL,COYOACAN,Coyoacan
ANACAHUITA,195,PEDREGAL DE SANTO DOMINGO,4369,DISTRITO FEDERAL,COYOACAN,Coyoacan
RANCHO VISTA HERMOSA,SN,SANTA CECILIA,4930,DISTRITO FEDERAL,COYOACAN,Coyoacan
SANTA ANA,199,AVANTE,4460,DISTRITO FEDERAL,COYOACAN,Coyoacan
SANTA URSULA,SN,PEDREGAL DE SANTA URSULA,4600,DISTRITO FEDERAL,COYOACAN,Coyoacan
REY MOCTEZUMA,SN,AJUSCO,4300,DISTRITO FEDERAL,COYOACAN,Coyoacan
ANTONIO DELFIN MADRIGAL,44,PEDREGAL DE SANTO DOMINGO,4369,DISTRITO FEDERAL,COYOACAN,Coyoacan
REAL DE LOS REYES,142,COLONIA PUEBLO LOS REYES,4330,DISTRITO FEDERAL,COYOACAN,Coyoacan
MERCEDES ABREGO,8,CULHUACAN SECCIONTOR VI,4480,DISTRITO FEDERAL,COYOACAN,Coyoacan
16 DE SEPTIEMBRE (CDA 20 DE AGOSTO),SN,BARRIO SAN JUAN CULHUACAN,4260,DISTRITO FEDERAL,COYOACAN,Coyoacan
SAGITARIO,124,PRADOS DE CHURUBUSCO,4230,DISTRITO FEDERAL,COYOACAN,Coyoacan
GENERAL ANAYA,198,COLONIA SAN DIEGO CHURUBUSCO,4120,DISTRITO FEDERAL,COYOACAN,Coyoacan
HOLANDA,13,COL. SAN DIEGO CHURUBUSCO,4210,DISTRITO FEDERAL,COYOACAN,Coyoacan
DE TLALPAN,2205,CD JARDIN,4370,DISTRITO FEDERAL,COYOACAN,Coyoacan
ANTIGUA TAXQUEÑA,47,COLONIA PARQUE SAN ANDRES,4040,DISTRITO FEDERAL,COYOACAN,Coyoacan
MIGUEL ANGEL DE QUEVEDO,953,EL ROSEDAL,4330,DISTRITO FEDERAL,COYOACAN,Coyoacan
